,delay
0,2.629185199737549
1,0.15521883964538574
2,0.11850666999816895
3,0.12929749488830566
4,0.1263744831085205
5,0.1269843578338623
6,0.14385271072387695
7,0.203904390335083
8,0.11523938179016113
9,0.1369328498840332
10,0.12570738792419434
11,0.12400317192077637
12,0.12379097938537598
13,0.12889933586120605
14,0.15103816986083984
15,0.12801027297973633
16,0.1462712287902832
17,0.12586236000061035
18,0.15650439262390137
19,0.1179342269897461
20,0.19335103034973145
21,0.13297462463378906
22,0.12663793563842773
23,0.11415767669677734
24,0.1282176971435547
25,0.17015910148620605
26,0.15792083740234375
27,0.11714529991149902
28,0.12550830841064453
29,0.12307119369506836
30,0.12713360786437988
31,0.16424012184143066
32,0.13990330696105957
33,0.11813998222351074
34,0.16765904426574707
35,0.13356351852416992
36,0.23778676986694336
37,0.12272095680236816
38,0.19881200790405273
39,0.14983534812927246
40,0.13533544540405273
41,0.13299274444580078
42,0.11478662490844727
43,0.11205387115478516
44,0.14394021034240723
45,0.12315249443054199
46,0.1966705322265625
47,0.13281917572021484
48,0.11615371704101562
49,0.10763287544250488
50,0.15369129180908203
51,0.12341690063476562
52,0.11508655548095703
53,0.1243448257446289
54,0.11940288543701172
55,0.10883545875549316
56,0.16608595848083496
57,0.12724900245666504
58,0.11791706085205078
59,0.10649561882019043
60,0.11825251579284668
61,0.11346554756164551
62,0.10931825637817383
63,0.11696171760559082
64,0.11990880966186523
65,0.11962127685546875
66,0.11130619049072266
67,0.12169289588928223
68,0.15116119384765625
69,0.11647486686706543
70,0.11385726928710938
71,0.23880410194396973
72,0.12766075134277344
73,0.11510539054870605
74,0.11877155303955078
75,0.12581849098205566
76,0.11206865310668945
77,0.11597442626953125
78,0.1481306552886963
79,0.12659668922424316
80,0.11560177803039551
81,0.11318492889404297
82,0.11902284622192383
83,0.12311935424804688
84,0.13470840454101562
85,0.11314225196838379
86,0.11248660087585449
87,0.11059141159057617
88,0.10858035087585449
89,0.10701870918273926
90,0.11829566955566406
91,0.11962008476257324
92,0.12122201919555664
93,0.16771721839904785
94,0.11327028274536133
95,0.12249207496643066
96,0.11055803298950195
97,0.1093742847442627
98,0.12244558334350586
99,0.10653996467590332
100,0.12118196487426758
101,0.11167001724243164
102,0.11949014663696289
103,0.11597967147827148
104,0.1207270622253418
105,0.11850333213806152
106,0.11410760879516602
107,0.11970925331115723
108,0.1926424503326416
109,0.17147612571716309
110,0.1763465404510498
111,0.1570751667022705
112,0.11603927612304688
113,0.11456084251403809
114,0.13986635208129883
115,0.1467726230621338
116,0.15297198295593262
117,0.12269878387451172
118,0.11014556884765625
119,0.11660528182983398
120,0.16229844093322754
121,0.1214900016784668
122,0.11879682540893555
123,0.11692214012145996
124,0.11378002166748047
125,0.14943981170654297
126,0.1280505657196045
127,0.12462258338928223
128,0.10948991775512695
129,0.11383414268493652
130,0.10588502883911133
131,0.11879968643188477
132,0.11272740364074707
133,0.11325931549072266
134,0.11560511589050293
135,0.10731363296508789
136,0.11116313934326172
137,0.12299966812133789
138,0.11901044845581055
139,0.11551785469055176
140,0.12643074989318848
141,0.1892704963684082
142,0.1336531639099121
143,0.12813878059387207
144,0.1238396167755127
145,0.11575055122375488
146,0.11733031272888184
147,0.1242208480834961
148,0.1193692684173584
149,0.12297320365905762
150,0.12516212463378906
151,0.1199038028717041
152,0.1542661190032959
153,0.1244969367980957
154,0.19215798377990723
155,0.13277268409729004
156,0.11227750778198242
157,0.12354898452758789
158,0.11454129219055176
159,0.14200735092163086
160,0.1943056583404541
161,0.1096348762512207
162,0.13607239723205566
163,0.11617136001586914
164,0.14558935165405273
165,0.121337890625
166,0.10659193992614746
167,0.1126556396484375
168,0.11371755599975586
169,0.12359762191772461
170,0.1483621597290039
171,0.12176799774169922
172,0.2026371955871582
173,0.1398911476135254
174,0.1115872859954834
175,0.12368988990783691
176,0.11403727531433105
177,0.16488385200500488
178,0.15177011489868164
179,0.11991500854492188
180,0.11638593673706055
181,0.15887999534606934
182,0.10784363746643066
183,0.11993885040283203
184,0.10891032218933105
185,0.1268160343170166
186,0.11130833625793457
187,0.12035489082336426
188,0.13293981552124023
189,0.11444234848022461
190,0.12601947784423828
191,0.12141275405883789
192,0.11201620101928711
193,0.11684179306030273
194,0.11424875259399414
195,0.11798095703125
196,0.14702057838439941
197,0.12262630462646484
198,0.12861967086791992
199,0.11086797714233398
200,0.11741876602172852
201,0.12139725685119629
