,delay
0,3.085251569747925
1,0.8033602237701416
2,0.9368093013763428
3,0.052084922790527344
4,0.1662132740020752
5,0.2704305648803711
6,0.37830471992492676
7,0.4906792640686035
8,0.6002986431121826
9,0.708827018737793
10,0.8805806636810303
11,0.9840855598449707
12,0.08463382720947266
13,0.18594670295715332
14,0.2947847843170166
15,0.4008667469024658
16,0.5082368850708008
17,0.6141815185546875
18,0.720710039138794
19,0.8272373676300049
20,0.9273004531860352
21,1.0303807258605957
22,0.1307535171508789
23,0.23236989974975586
24,0.33655691146850586
25,0.43665385246276855
26,0.5358242988586426
27,0.6408472061157227
28,0.7457072734832764
29,0.8550548553466797
30,0.957552433013916
31,0.06227612495422363
32,0.16649556159973145
33,0.26618123054504395
34,0.36806368827819824
35,0.4687464237213135
36,0.5831964015960693
37,0.689227819442749
38,0.8253898620605469
39,0.9628548622131348
40,0.06764674186706543
41,0.17757487297058105
42,0.2832963466644287
43,0.39431142807006836
44,0.5007808208465576
45,0.6161947250366211
46,0.7220284938812256
47,0.8266355991363525
48,0.9349546432495117
49,0.0393524169921875
50,0.13928580284118652
51,0.2461376190185547
52,0.3526740074157715
53,0.4575080871582031
54,0.5674467086791992
55,0.6722192764282227
56,0.780933141708374
57,0.8827440738677979
58,0.9985065460205078
59,0.10923314094543457
60,0.21489572525024414
61,0.3226053714752197
62,0.4317779541015625
63,0.5398783683776855
64,0.6473150253295898
65,0.7570817470550537
66,0.8728184700012207
67,0.9876465797424316
68,0.18033051490783691
69,0.2837533950805664
70,0.3898317813873291
71,0.49753284454345703
72,0.6043450832366943
73,0.7063426971435547
74,0.8238844871520996
75,0.943112850189209
76,0.05709338188171387
77,0.16640424728393555
78,0.2742133140563965
79,0.38559675216674805
80,0.495328426361084
81,0.6009047031402588
82,0.6999044418334961
83,0.8044493198394775
84,0.9029126167297363
85,1.0065319538116455
86,0.1095278263092041
87,0.21421432495117188
88,0.3192570209503174
89,0.4273393154144287
90,0.5361123085021973
91,0.6495761871337891
92,0.7546744346618652
93,0.8601133823394775
94,0.9622812271118164
95,0.07070112228393555
96,0.17057561874389648
97,0.27736616134643555
98,0.3816816806793213
99,0.48584747314453125
100,0.5898518562316895
101,0.6916153430938721
102,0.8008549213409424
103,0.9049859046936035
104,1.013240098953247
105,0.11890983581542969
106,0.22368884086608887
107,0.3265717029571533
108,0.4306783676147461
109,0.537600040435791
110,0.6480693817138672
111,0.7533283233642578
112,0.8546035289764404
113,0.9557754993438721
114,0.05539655685424805
115,0.16148924827575684
116,0.26929426193237305
117,0.3737914562225342
118,0.48374199867248535
119,0.5859315395355225
120,0.6957910060882568
121,0.8023693561553955
122,0.9064722061157227
123,1.018322229385376
124,0.11962699890136719
125,0.22358274459838867
126,0.40305328369140625
127,0.5050933361053467
128,0.6056108474731445
129,0.7075409889221191
130,0.8136239051818848
131,0.9164438247680664
132,0.01784038543701172
133,0.12372326850891113
134,0.23451542854309082
135,0.34111547470092773
136,0.4489431381225586
137,0.5551726818084717
138,0.669142484664917
139,0.7752387523651123
140,0.8877296447753906
141,0.9929757118225098
142,0.09855771064758301
143,0.19987249374389648
144,0.309406042098999
145,0.4203164577484131
146,0.5269999504089355
147,0.6457085609436035
148,0.7563526630401611
149,0.8620162010192871
150,0.9729788303375244
151,0.07751226425170898
152,0.18446063995361328
153,0.29018163681030273
154,0.39650869369506836
155,0.49894118309020996
156,0.6070213317871094
157,0.7082252502441406
158,0.8136343955993652
159,0.9184367656707764
160,1.0276033878326416
161,0.13325214385986328
162,0.23519062995910645
163,0.3404982089996338
164,0.44626641273498535
165,0.5522079467773438
166,0.6582133769989014
167,0.7607269287109375
168,0.8766789436340332
169,0.9821367263793945
170,0.08563971519470215
171,0.1929488182067871
172,0.304487943649292
173,0.4081113338470459
174,0.5120298862457275
175,0.6157584190368652
176,0.7205560207366943
177,0.8227250576019287
178,0.937736988067627
179,0.04288291931152344
180,0.14594602584838867
181,0.25022292137145996
182,0.35009312629699707
183,0.4567904472351074
184,0.6434862613677979
185,0.7426629066467285
186,0.8497271537780762
187,0.9531416893005371
188,0.05569720268249512
189,0.15651154518127441
190,0.26405835151672363
191,0.37070274353027344
192,0.47645139694213867
193,0.5792973041534424
194,0.6871325969696045
195,0.7933375835418701
196,0.9200179576873779
197,0.051619529724121094
198,0.15422487258911133
199,0.2598252296447754
200,0.36577773094177246
201,0.4708552360534668
202,0.575197696685791
203,0.6925406455993652
204,0.8316984176635742
205,0.932671308517456
206,0.038616180419921875
207,0.14112043380737305
208,0.2579772472381592
209,0.3687314987182617
210,0.47646021842956543
211,0.5796031951904297
212,0.6865184307098389
213,0.7928769588470459
214,0.9014256000518799
215,1.010380506515503
216,0.11209940910339355
217,0.21926331520080566
218,0.3232729434967041
219,0.4250209331512451
220,0.527240514755249
221,0.6365203857421875
222,0.7443931102752686
223,0.8479044437408447
224,0.9497103691101074
225,0.06062030792236328
226,0.1724255084991455
227,0.2754373550415039
228,0.3769652843475342
229,0.4872782230377197
230,0.6242694854736328
231,0.7336740493774414
232,0.838860034942627
233,0.9457552433013916
234,0.05363607406616211
235,0.15555787086486816
236,0.266568660736084
237,0.4529592990875244
238,0.552837610244751
