,delay
0,-0.8508050441741943
1,-0.31337976455688477
2,-0.8053500652313232
3,-0.8375833034515381
4,-0.8342580795288086
5,-0.8359720706939697
6,-0.8344371318817139
7,-0.8346683979034424
8,-0.8375964164733887
9,-0.834836483001709
10,-0.6253519058227539
11,-0.8358662128448486
12,-0.8365724086761475
13,-0.8299565315246582
14,-0.8317890167236328
15,-0.835871696472168
16,-0.8336868286132812
17,-0.8373544216156006
18,-0.8346569538116455
19,-0.8351197242736816
20,-0.8334085941314697
21,-0.8312480449676514
22,-0.8269953727722168
23,-0.8080170154571533
24,-0.8360168933868408
25,-0.8317115306854248
26,-0.830899715423584
27,-0.8006904125213623
28,-0.8355345726013184
29,-0.8371100425720215
30,-0.8354239463806152
31,-0.8317010402679443
32,-0.836768627166748
33,-0.8315334320068359
34,-0.8090734481811523
35,-0.8352844715118408
36,-0.8369119167327881
37,-0.8332879543304443
38,-0.8346831798553467
39,-0.833749532699585
40,-0.8329963684082031
41,-0.8373777866363525
42,-0.8360857963562012
43,-0.8351161479949951
44,-0.8365159034729004
45,-0.8354372978210449
46,-0.8321888446807861
47,-0.8278849124908447
48,-0.8326883316040039
49,-0.8321957588195801
50,-0.8367156982421875
51,-0.8349261283874512
52,-0.8060407638549805
53,-0.833343505859375
54,-0.8368430137634277
55,-0.836726188659668
56,-0.8350067138671875
57,-0.8378050327301025
58,-0.8303322792053223
59,-0.6210761070251465
60,-0.8355617523193359
61,-0.8335373401641846
62,-0.837623119354248
63,-0.83567214012146
64,-0.8349430561065674
65,-0.837310791015625
66,-0.8348639011383057
67,-0.8349759578704834
68,-0.8228480815887451
69,-0.8380231857299805
70,-0.8342432975769043
71,-0.8352169990539551
72,-0.8315646648406982
73,-0.834291934967041
74,-0.8261260986328125
75,-0.8353571891784668
76,-0.8354353904724121
77,-0.8309648036956787
78,-0.6156895160675049
79,-0.8353080749511719
80,-0.8328793048858643
81,-0.8355364799499512
82,-0.8319108486175537
83,-0.8390424251556396
84,-0.836029052734375
85,-0.8286652565002441
86,-0.8348047733306885
87,-0.8325796127319336
88,-0.8379390239715576
89,-0.8304214477539062
90,-0.8308663368225098
91,-0.8316330909729004
92,-0.8363018035888672
93,-0.8335039615631104
94,-0.8358922004699707
95,-0.8323462009429932
96,-0.8339931964874268
97,-0.8305485248565674
98,-0.8305413722991943
99,-0.8359076976776123
100,-0.8040134906768799
101,-0.8362090587615967
102,-0.8180065155029297
103,-0.8306081295013428
104,-0.8346409797668457
105,-0.8345201015472412
106,-0.8323001861572266
107,-0.8373944759368896
108,-0.8294732570648193
109,-0.8306369781494141
110,-0.8316731452941895
111,-0.6115717887878418
112,-0.8357117176055908
113,-0.8371117115020752
114,-0.8372101783752441
115,-0.833984375
116,-0.8317136764526367
117,-0.835780143737793
118,-0.8310165405273438
119,-0.8353855609893799
120,-0.8104715347290039
121,-0.8328948020935059
122,-0.8337154388427734
123,-0.834282636642456
124,-0.824552059173584
125,-0.7538471221923828
126,-0.8159668445587158
127,-0.8295586109161377
128,-0.8200969696044922
129,-0.8311195373535156
130,-0.8303964138031006
131,-0.8106851577758789
132,-0.7473452091217041
133,-0.7471601963043213
134,-0.6676516532897949
135,-0.7297945022583008
136,-0.750762939453125
137,-0.7584643363952637
138,-0.8355379104614258
139,-0.8331120014190674
140,-0.8361539840698242
141,-0.8348469734191895
142,-0.8377604484558105
143,-0.8342230319976807
144,-0.8269197940826416
145,-0.8320081233978271
146,-0.8348903656005859
147,-0.8377375602722168
148,-0.8384988307952881
149,-0.8361368179321289
150,-0.8377304077148438
151,-0.8343613147735596
152,-0.8305459022521973
153,-0.8061072826385498
154,-0.8386580944061279
155,-0.8342897891998291
156,-0.8368401527404785
157,-0.8358306884765625
158,-0.8350961208343506
159,-0.8319244384765625
160,-0.8344111442565918
161,-0.8340332508087158
162,-0.8244757652282715
163,-0.8339004516601562
164,-0.8382623195648193
165,-0.8330495357513428
166,-0.8360624313354492
167,-0.833383321762085
168,-0.8355441093444824
169,-0.8313264846801758
170,-0.8319387435913086
171,-0.8336930274963379
172,-0.8328714370727539
173,-0.833242654800415
174,-0.832524299621582
175,-0.8378055095672607
176,-0.8387691974639893
177,-0.8347325325012207
178,-0.8384122848510742
179,-0.8345329761505127
180,-0.6207952499389648
181,-0.6099729537963867
182,-0.8354525566101074
183,-0.8342304229736328
184,-0.7730112075805664
185,-0.832744836807251
186,-0.8313686847686768
187,-0.8336517810821533
188,-0.8346676826477051
189,-0.8326599597930908
190,-0.8361091613769531
191,-0.832242488861084
192,-0.8377628326416016
193,-0.8335018157958984
194,-0.8319220542907715
195,-0.8353543281555176
196,-0.8364732265472412
197,-0.8332083225250244
198,-0.8382728099822998
199,-0.8369255065917969
200,-0.8339247703552246
201,-0.83207106590271
202,-0.8346974849700928
203,-0.8324270248413086
204,-0.8384191989898682
205,-0.8326671123504639
206,-0.8363606929779053
207,-0.8323800563812256
208,-0.8347268104553223
209,-0.834251880645752
210,-0.8312742710113525
211,-0.8326013088226318
212,-0.8354430198669434
213,-0.8372714519500732
214,-0.8369333744049072
215,-0.8323521614074707
216,-0.8349158763885498
217,-0.8328368663787842
218,-0.8344476222991943
219,-0.8322839736938477
220,-0.838223934173584
221,-0.8349955081939697
222,-0.8328971862792969
