,delay
0,0.9964230060577393
1,0.7821009159088135
2,0.9417436122894287
3,0.05767631530761719
4,0.17327451705932617
5,0.307936429977417
6,0.43990564346313477
7,0.5620927810668945
8,0.6811654567718506
9,0.8061878681182861
10,0.9827659130096436
11,0.10839056968688965
12,0.24062800407409668
13,0.3619973659515381
14,0.47788405418395996
15,0.5940530300140381
16,0.7155129909515381
17,0.8355462551116943
18,0.9633941650390625
19,0.09482741355895996
20,0.2194976806640625
21,0.3452317714691162
22,0.4753265380859375
23,0.5948967933654785
24,0.7134966850280762
25,0.8306655883789062
26,0.9950881004333496
27,0.1452922821044922
28,0.31147074699401855
29,0.44959402084350586
30,0.5718281269073486
31,0.6973941326141357
32,0.8288593292236328
33,0.9705603122711182
34,0.1373729705810547
35,0.390958309173584
36,0.538585901260376
37,0.670506477355957
38,0.8310065269470215
39,0.9651668071746826
40,0.10879111289978027
41,0.28027772903442383
42,0.4567229747772217
43,0.5946331024169922
44,0.7042183876037598
45,0.8112494945526123
46,0.932410717010498
47,1.038869857788086
48,0.14652514457702637
49,0.2594578266143799
50,0.3731815814971924
51,0.5032405853271484
52,0.6122472286224365
53,0.7249546051025391
54,0.8382251262664795
55,0.9464151859283447
56,0.05505824089050293
57,0.1675114631652832
58,0.275134801864624
59,0.3804287910461426
60,0.4885580539703369
61,0.5949094295501709
62,0.7105636596679688
63,0.8277316093444824
64,0.949474573135376
65,0.06069469451904297
66,0.16890835762023926
67,0.27550172805786133
68,0.46357059478759766
69,0.5719480514526367
70,0.6809933185577393
71,0.7867753505706787
72,0.8886947631835938
73,0.9922604560852051
74,0.09512138366699219
75,0.20056939125061035
76,0.32829713821411133
77,0.4463787078857422
78,0.5749263763427734
79,0.6822683811187744
80,0.7909641265869141
81,0.9300017356872559
82,1.0446596145629883
83,0.14961934089660645
84,0.25815343856811523
85,0.3600308895111084
86,0.4620482921600342
87,0.5786445140838623
88,0.6841030120849609
89,0.7873132228851318
90,0.8927505016326904
91,0.9983394145965576
92,0.10636591911315918
93,0.20964837074279785
94,0.3166775703430176
95,0.41649436950683594
96,0.5183746814727783
97,0.6210675239562988
98,0.7244563102722168
99,0.8281848430633545
100,0.929781436920166
101,1.0427498817443848
102,0.14995050430297852
103,0.25759100914001465
104,0.3662590980529785
105,0.5168325901031494
106,0.6765923500061035
107,0.8152921199798584
108,0.951392412185669
109,0.09273910522460938
110,0.3155343532562256
111,0.41802453994750977
112,0.5198221206665039
113,0.6242485046386719
114,0.7285585403442383
115,0.8606054782867432
116,0.9991481304168701
117,0.15064597129821777
118,0.2765839099884033
119,0.4287421703338623
120,0.5704400539398193
121,0.8564121723175049
122,0.9817588329315186
123,0.08662939071655273
124,0.19134759902954102
125,0.3299381732940674
126,0.5173242092132568
127,0.6632483005523682
128,0.7968518733978271
129,0.9547059535980225
130,0.12835121154785156
131,0.24349021911621094
132,0.350844144821167
133,0.45810651779174805
134,0.5636019706726074
135,0.668546199798584
136,0.7793838977813721
137,0.8843088150024414
138,0.992255449295044
139,0.09808921813964844
140,0.20694637298583984
141,0.31214261054992676
142,0.42454981803894043
143,0.5287137031555176
144,0.6332955360412598
145,0.7404506206512451
146,0.8469259738922119
147,0.9574975967407227
148,0.06560516357421875
149,0.17326045036315918
150,0.2853527069091797
151,0.388688325881958
152,0.4955289363861084
153,0.6013176441192627
154,0.7069404125213623
155,0.8104350566864014
156,0.916923999786377
157,1.0221045017242432
158,0.13092279434204102
159,0.2323598861694336
160,0.33789658546447754
161,0.44435667991638184
162,0.5519671440124512
163,0.6628568172454834
164,0.7683131694793701
165,0.9260356426239014
166,1.0398530960083008
167,0.15337419509887695
168,0.28613781929016113
169,0.38919901847839355
170,0.49742865562438965
171,0.6030051708221436
172,0.7112951278686523
173,0.81571364402771
174,0.9374020099639893
175,1.0468854904174805
176,0.16743111610412598
177,0.27893781661987305
178,0.3937957286834717
179,0.5068283081054688
180,0.6177027225494385
181,0.733750581741333
182,0.8425815105438232
183,0.9480583667755127
184,0.12970280647277832
185,0.2415463924407959
186,0.3780851364135742
187,0.4878714084625244
188,0.6008985042572021
189,0.7079477310180664
190,0.82676100730896
191,0.9479043483734131
192,0.06232452392578125
193,0.17348361015319824
194,0.278461217880249
195,0.38782405853271484
196,0.506697416305542
197,0.61781907081604
198,0.722790002822876
199,0.8377130031585693
200,0.9473774433135986
201,0.05867433547973633
202,0.1665942668914795
203,0.2750966548919678
204,0.39806628227233887
205,0.5073912143707275
206,0.6228797435760498
207,0.7322506904602051
208,0.8542237281799316
209,1.000044584274292
210,0.10819578170776367
211,0.21701884269714355
212,0.33394289016723633
213,0.44975948333740234
214,0.5617825984954834
215,0.6719300746917725
216,0.7828800678253174
217,0.8917458057403564
218,1.016824722290039
219,0.1259143352508545
220,0.23802876472473145
221,0.34333348274230957
222,0.4678831100463867
223,0.574176549911499
224,0.6872377395629883
225,0.7981641292572021
226,0.9034404754638672
227,1.016817331314087
228,0.13126683235168457
229,0.2422199249267578
230,0.35230088233947754
231,0.45699548721313477
232,0.5744798183441162
233,0.6840457916259766
234,0.8009541034698486
235,0.9101419448852539
236,1.0141572952270508
237,0.19277572631835938
238,0.3029210567474365
239,0.4105069637298584
240,0.5412867069244385
241,0.6536962985992432
242,0.7596414089202881
243,0.8666543960571289
244,0.9742639064788818
245,0.10171055793762207
246,0.21140146255493164
247,0.32088327407836914
248,0.42905616760253906
249,0.5386772155761719
250,0.6469883918762207
251,0.7528271675109863
252,0.9041993618011475
253,1.0141494274139404
254,0.13057422637939453
255,0.24127483367919922
256,0.3533649444580078
257,0.4664430618286133
258,0.5856006145477295
259,0.7159175872802734
260,0.8528718948364258
261,0.975855827331543
262,0.08974099159240723
263,0.20716142654418945
264,0.314727783203125
265,0.426466703414917
266,0.5332515239715576
267,0.6410441398620605
268,0.7528142929077148
269,0.8681461811065674
270,0.972109317779541
271,0.07938718795776367
272,0.18854522705078125
273,0.30248570442199707
274,0.4104278087615967
275,0.5209143161773682
276,0.6402509212493896
277,0.7518942356109619
278,0.8646011352539062
279,0.9737658500671387
280,0.09358358383178711
281,0.24606657028198242
282,0.36012697219848633
283,0.47583484649658203
284,0.5885012149810791
285,0.7067298889160156
286,0.820594072341919
287,0.9325740337371826
288,1.0405395030975342
289,0.15932130813598633
290,0.2680666446685791
291,0.37784552574157715
292,0.4994218349456787
293,0.6048753261566162
294,0.7343907356262207
295,0.9214534759521484
296,1.0318515300750732
297,0.14630508422851562
298,0.27199554443359375
299,0.381666898727417
300,0.4877629280090332
301,0.59621262550354
302,0.7048494815826416
303,0.8120496273040771
304,0.9305107593536377
305,1.0560176372528076
306,0.16511249542236328
307,0.2729823589324951
308,0.38187670707702637
309,0.4950869083404541
310,0.5999634265899658
311,0.7072851657867432
312,0.8157641887664795
313,0.9196963310241699
314,1.037834644317627
315,0.1439833641052246
316,0.25404834747314453
317,0.37127065658569336
318,0.48032402992248535
319,0.587796688079834
320,0.6944398880004883
321,0.7985074520111084
322,0.9044134616851807
323,1.0124943256378174
324,0.12212014198303223
325,0.23254752159118652
326,0.3422729969024658
327,0.4496278762817383
328,0.5630507469177246
329,0.6700332164764404
330,0.7851552963256836
331,0.897672176361084
332,1.0051803588867188
333,0.10811710357666016
334,0.21576523780822754
335,0.32810068130493164
336,0.4371516704559326
337,0.5441575050354004
338,0.6504673957824707
339,0.7638421058654785
340,0.9067792892456055
341,1.0188612937927246
342,0.12873244285583496
343,0.23474884033203125
344,0.3402535915374756
345,0.4522736072540283
346,0.560020923614502
347,0.6679184436798096
348,0.7750318050384521
349,0.8941342830657959
350,1.0105297565460205
351,0.13212060928344727
352,0.25432419776916504
353,0.43572378158569336
354,0.5427706241607666
355,0.6486096382141113
356,0.7610423564910889
357,0.8706836700439453
358,0.9808218479156494
359,0.08699703216552734
360,0.19881439208984375
361,0.303774356842041
362,0.4095633029937744
363,0.5188515186309814
364,0.6254427433013916
365,0.7357854843139648
366,0.8440759181976318
367,0.9562168121337891
368,0.06550788879394531
369,0.17706513404846191
370,0.2877042293548584
371,0.40131211280822754
372,0.5105957984924316
373,0.6167163848876953
374,0.7262330055236816
375,0.833082914352417
376,0.9421496391296387
377,1.0470454692840576
378,0.1547238826751709
379,0.26486635208129883
380,0.37688374519348145
381,0.490598201751709
382,0.6068155765533447
383,0.7114286422729492
384,0.8316638469696045
385,0.9864318370819092
386,0.09597396850585938
387,0.20915436744689941
388,0.31972670555114746
389,0.4253876209259033
390,0.535576581954956
391,0.640925407409668
392,0.7494559288024902
393,0.8561878204345703
394,0.9657206535339355
395,0.07964491844177246
396,0.19894790649414062
397,0.3214707374572754
398,0.4503331184387207
399,0.559213399887085
400,0.6698946952819824
401,0.7772178649902344
402,0.8897364139556885
403,1.0257227420806885
404,0.14351677894592285
405,0.28789496421813965
406,0.4681210517883301
407,0.6125922203063965
408,0.7543749809265137
409,1.0407710075378418
410,0.15517807006835938
411,0.2631094455718994
412,0.4427986145019531
413,0.5591766834259033
414,0.6746349334716797
415,0.7843151092529297
416,0.8921151161193848
417,0.9997358322143555
418,0.10963129997253418
419,0.21683192253112793
420,0.32361435890197754
421,0.4315476417541504
422,0.5373015403747559
423,0.659355878829956
424,0.7813611030578613
425,0.9014370441436768
426,1.021148920059204
427,0.12757277488708496
428,0.24611687660217285
429,0.3569149971008301
430,0.46819591522216797
431,0.5784056186676025
432,0.686011791229248
433,0.7950689792633057
434,0.902458667755127
435,1.0202093124389648
436,0.1437528133392334
437,0.25162220001220703
438,0.3615109920501709
439,0.4686095714569092
440,0.5842490196228027
441,0.708979606628418
442,0.8175454139709473
443,0.9274032115936279
444,1.0353262424468994
445,0.14583873748779297
446,0.2534036636352539
447,0.36295557022094727
448,0.4783029556274414
449,0.582911491394043
450,0.689488410949707
451,0.7960405349731445
452,0.9046812057495117
453,1.0114293098449707
454,0.12171006202697754
455,0.23075413703918457
456,0.3380401134490967
457,0.4447746276855469
458,0.5529141426086426
459,0.681351900100708
460,0.7869329452514648
461,0.8921682834625244
462,0.99985671043396
463,0.10584616661071777
464,0.2889738082885742
465,0.39618730545043945
466,0.5091879367828369
467,0.616802453994751
468,0.727238655090332
469,0.8695547580718994
470,1.0011212825775146
471,0.10681295394897461
472,0.23676514625549316
473,0.34646177291870117
474,0.45661497116088867
475,0.5671136379241943
476,0.679114818572998
477,0.7913703918457031
478,0.9106190204620361
479,1.0313935279846191
480,0.1402885913848877
481,0.24590516090393066
482,0.3508272171020508
483,0.46790337562561035
484,0.5713510513305664
485,0.687232494354248
486,0.8064532279968262
487,0.9368138313293457
488,1.0439748764038086
489,0.15177011489868164
490,0.28099870681762695
491,0.393402099609375
492,0.49895811080932617
493,0.6102035045623779
494,0.717738151550293
495,0.831268310546875
496,0.9384341239929199
497,1.0512893199920654
498,0.1625683307647705
499,0.2780766487121582
500,0.3858835697174072
501,0.4931223392486572
502,0.5994539260864258
503,0.7069523334503174
504,0.816676139831543
505,0.93613600730896
506,1.0453858375549316
507,0.1665647029876709
508,0.3223762512207031
509,0.4296863079071045
510,0.5333888530731201
511,0.6402420997619629
512,0.7463252544403076
513,0.9163994789123535
514,1.0254943370819092
515,0.12785887718200684
516,0.27371859550476074
517,0.38719868659973145
518,0.4927632808685303
519,0.5982978343963623
520,0.717221736907959
521,0.8278696537017822
522,1.00876784324646
523,0.1255199909210205
524,0.23163414001464844
525,0.3461477756500244
526,0.48021769523620605
527,0.5975551605224609
528,0.7135093212127686
529,0.8231163024902344
530,0.9468321800231934
531,0.0676431655883789
532,0.20499634742736816
533,0.32340073585510254
534,0.43291592597961426
535,0.5374870300292969
536,0.6454944610595703
537,0.7540392875671387
538,0.8705263137817383
539,0.9813737869262695
540,0.08712005615234375
541,0.2008802890777588
542,0.31769657135009766
543,0.4432239532470703
544,0.5566129684448242
545,0.6681861877441406
546,0.7823405265808105
547,0.8973908424377441
548,1.0172100067138672
549,0.1233370304107666
550,0.23637795448303223
551,0.3435022830963135
552,0.45417308807373047
553,0.5636212825775146
554,0.6924881935119629
555,0.8251206874847412
556,0.9683859348297119
557,0.08396601676940918
558,0.20084190368652344
559,0.31539463996887207
560,0.4229855537414551
561,0.5337438583374023
562,0.6454098224639893
563,0.757655143737793
564,0.8740925788879395
565,0.9977059364318848
566,0.11508941650390625
567,0.22149300575256348
568,0.32611560821533203
569,0.43903493881225586
570,0.5473582744598389
